Author A,Author B,S(A and B),S(A),S(B),A => B confidence,B => A confidence,Jaccard,Cosine,Kulc,IR,years
Shujie Liu,Ming Zhou,32,32,116,1.0,0.27586206896551724,0.27586206896551724,0.5252257314388902,0.6379310344827587,0.7241379310344828,"{2013: 6, 2014: 4, 2015: 2, 2016: 2, 2017: 4, 2018: 12, 2019: 1, 2020: 1}"
Mu Li,Ming Zhou,27,29,116,0.9310344827586207,0.23275862068965517,0.2288135593220339,0.46551724137931033,0.5818965517241379,0.7372881355932204,"{2013: 6, 2014: 5, 2015: 2, 2016: 1, 2017: 4, 2018: 9}"
Mu Li,Shujie Liu,25,29,32,0.8620689655172413,0.78125,0.6944444444444444,0.8206652053732659,0.8216594827586207,0.08333333333333333,"{2013: 6, 2014: 4, 2015: 2, 2016: 1, 2017: 3, 2018: 9}"
Shujie Liu,Mu Li,25,32,29,0.78125,0.8620689655172413,0.6944444444444444,0.8206652053732659,0.8216594827586207,0.08333333333333333,"{2013: 6, 2014: 4, 2015: 2, 2016: 1, 2017: 3, 2018: 9}"
Ali Wali,M. Adel Alimi,22,22,84,1.0,0.2619047619047619,0.2619047619047619,0.511766315719159,0.6309523809523809,0.7380952380952381,"{2013: 6, 2014: 4, 2015: 5, 2016: 3, 2017: 1, 2018: 3}"
Yebin Liu,Qionghai Dai,21,22,140,0.9545454545454546,0.15,0.14893617021276595,0.37839373433213475,0.5522727272727272,0.8368794326241135,"{2013: 5, 2014: 6, 2015: 1, 2016: 1, 2017: 3, 2018: 1, 2019: 4}"
Xiaopeng Fan,Wen Gao,27,34,208,0.7941176470588235,0.12980769230769232,0.12558139534883722,0.3210647585542835,0.4619626696832579,0.8093023255813954,"{2013: 4, 2014: 5, 2015: 3, 2016: 1, 2017: 5, 2018: 7, 2019: 2}"
Jianjun Qian,Jian Yang,27,27,123,1.0,0.21951219512195122,0.21951219512195122,0.4685212856658182,0.6097560975609756,0.7804878048780488,"{2013: 3, 2014: 4, 2015: 5, 2016: 1, 2017: 8, 2018: 2, 2019: 3, 2020: 1}"
Jun Xiao,Yueting Zhuang,25,29,94,0.8620689655172413,0.26595744680851063,0.25510204081632654,0.4788252928175573,0.564013206162876,0.6632653061224489,"{2013: 3, 2014: 2, 2015: 4, 2016: 3, 2017: 6, 2018: 3, 2019: 3, 2021: 1}"
Zhongyuan Wang,Ruimin Hu,23,23,115,1.0,0.2,0.2,0.4472135954999579,0.6,0.8,"{2013: 4, 2014: 7, 2015: 4, 2016: 3, 2017: 3, 2018: 1, 2019: 1}"
Yang Yang,Heng Tao Shen,36,50,99,0.72,0.36363636363636365,0.3185840707964602,0.5116817192534651,0.5418181818181818,0.4336283185840708,"{2013: 3, 2015: 1, 2016: 6, 2017: 8, 2018: 9, 2019: 7, 2020: 1, 2022: 1}"
Jianjiang Feng,Jie Zhou,41,43,92,0.9534883720930233,0.44565217391304346,0.43617021276595747,0.6518620757676157,0.6995702730030333,0.5212765957446809,"{2013: 2, 2014: 3, 2015: 5, 2016: 3, 2017: 11, 2018: 11, 2019: 6}"
Jianjiang Feng,Jiwen Lu,29,43,131,0.6744186046511628,0.22137404580152673,0.2,0.3863919966503554,0.44789632522634476,0.6068965517241379,"{2015: 1, 2016: 1, 2017: 10, 2018: 13, 2019: 4}"
Yan Yan,Nicu Sebe,22,23,99,0.9565217391304348,0.2222222222222222,0.22,0.46104271653874973,0.5893719806763285,0.76,"{2013: 2, 2014: 5, 2015: 4, 2016: 6, 2017: 1, 2018: 1, 2019: 3}"
Will N. Browne,Mengjie Zhang,33,33,186,1.0,0.1774193548387097,0.1774193548387097,0.4212117695871159,0.5887096774193549,0.8225806451612904,"{2013: 12, 2014: 8, 2015: 4, 2016: 3, 2017: 4, 2019: 2}"
Mark Johnston,Mengjie Zhang,22,22,186,1.0,0.11827956989247312,0.11827956989247312,0.3439179697143973,0.5591397849462365,0.8817204301075269,"{2013: 8, 2014: 7, 2015: 3, 2017: 2, 2018: 1, 2019: 1}"
Amri Napolitano,Taghi M. Khoshgoftaar,38,38,50,1.0,0.76,0.76,0.8717797887081347,0.88,0.24,"{2013: 10, 2014: 13, 2015: 12, 2016: 2, 2018: 1}"
